wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6520.74,6520,36.2,1.4,D,11.9,1.6,D,6.9,0.3,D,14.3,0.6,D,4.2,0.3,D,7.6,0.8,D,8.4,0.3,D,7.3,1.4,D,1.2,,L,1.6,,L,19.3,0.9,D,7.2,,L,25.1,0.6,D,6,0.9,D,52.6,0.9,D,54.4,1.3,D,8.5,1,D,50.6,1.1,D,20.5,1,D,36.6,1.7,D,36.4,1.9,D,45.4,1.6,D,24.2,0.9,D,11.8,0.8,C,19.9,1,D
6523.29,6523,0.5,,L,3.4,,L,1.8,0.2,D,2.2,0.3,D,0.2,,L,1.6,0.2,D,0.6,,L,0.8,,L,0.7,,L,0.6,0.2,D,2.1,0.3,D,2.5,,L,3.4,0.3,D,1.6,,L,6.3,0.2,D,5.1,0.3,D,1.5,0.2,D,2.8,0.2,D,0.7,,L,1.3,,L,5.6,0.4,D,0.9,,L,3.1,0.1,D,0.9,0.3,D,0.4,,L
6536.51,6536,2.1,,L,8.4,,L,1.2,0.4,D,3.7,0.3,D,1.8,,L,2.5,,L,1.6,0.5,D,2.8,,L,0.8,,L,1.7,,L,11.3,0.7,D,4.7,,L,5.9,0.6,D,4,,L,14,0.9,D,7.1,0.7,D,2.9,0.5,D,13.7,0.6,D,3.9,0.5,D,3.9,,L,9.7,0.7,D,7.4,0.7,D,9.4,0.8,D,5.2,0.4,D,9.1,0.8,D
6543.22,6543,5,0.6,C,4.6,,L,2.8,0.3,D,3.1,0.2,D,1.2,,L,1.4,,L,1.1,,L,3.2,,L,1.2,0.1,D,0.9,,L,6.6,0.4,D,2.8,,L,5,0.6,D,1,,L,8,0.5,D,16.9,0.9,D,1.1,,L,10.6,0.6,D,1.6,,L,1.8,,L,4.5,0.4,D,7.2,0.5,D,9.9,0.4,D,1.2,,L,3.8,0.6,D
6548.99,6548,9.7,0.5,D,5.4,,L,1.7,0.3,D,3.6,0.5,D,1.3,,L,2.8,,L,3,0.2,D,3.8,,L,0.2,,L,1.1,,L,5.2,0.3,D,2.2,,L,2,0.6,D,2.9,,L,11.2,0.6,D,7.1,1.4,D,4.8,0.4,D,11.4,0.9,D,2.9,0.3,D,5.6,,L,7.5,0.4,D,8.3,0.6,D,4.6,0.3,D,1.5,,L,1.4,,L
6553.88,6553,11.4,0.7,D,5.3,1.1,D,5.3,0.3,D,7.3,0.5,D,1,0.2,D,,,R,2.9,0.2,D,2.8,,L,0.6,,L,1,0.3,D,10,0.1,D,3.4,,L,12.6,0.5,D,4.6,0.9,D,24,0.6,D,31.4,1.9,D,3.5,0.4,D,16.3,0.3,D,2,0.1,D,6.8,1.1,D,14,0.3,D,12.2,0.4,D,11.6,0.3,D,6.4,0.2,D,7.3,0.3,D
6572.93,6572,6.3,1,D,8.5,,L,,,R,6.7,,L,3,,L,,,R,12.4,0.5,D,7.6,1.6,D,3.3,0.4,D,,,R,5.5,0.7,D,4.4,,L,3.5,,L,8.4,,L,10.6,,L,12.6,1.6,D,1.9,,L,8.1,1,D,,,R,12.5,,L,,,R,7.7,,L,7.7,0.4,D,2,,L,4.6,,L
6591.51,6591,115.3,12,D,179.9,23,C,19.5,3.4,D,,,R,,,R,51.4,3.9,D,74.2,6.4,D,30.4,,L,12.9,,L,,,R,73.9,6.3,D,,,R,41.8,6.2,D,22.4,,L,,,R,288.2,11.3,D,80.4,5.9,D,37.2,8.3,D,,,R,145.5,12.7,C,,,R,104.4,,L,68.2,6.1,D,41.7,6.2,D,133,8.6,C
6594.3,6594,4.5,0.3,D,4.4,,L,0.7,,L,2.4,0.4,D,0.4,,L,1.8,,L,1.2,0.3,D,2.3,,L,0.8,,L,0.7,,L,3.3,0.4,D,,,R,1,,L,1.5,,L,6,0.3,D,8.7,1.2,D,1.8,0.3,D,6.2,0.2,D,2.6,0.3,D,1.7,,L,8.1,0.5,D,8.2,0.9,D,2.3,0.3,D,1.6,,L,3.3,0.6,D
6597.34,6597,14.4,0.5,D,3.6,,L,0.8,0.1,D,7,0.3,D,0.9,,L,1.4,,L,4.7,0.3,D,4,0.7,D,2.1,0.2,D,1.7,0.1,D,11.1,0.6,D,,,R,1.4,0.2,D,2.6,,L,17.3,0.4,D,11.9,0.9,D,4.1,0.1,D,23.9,0.5,D,10.4,0.3,D,14.2,0.7,D,22.7,0.4,D,27.6,1.1,D,8.1,0.4,D,5.1,0.4,D,8.9,0.3,D
6599.99,6599,,,R,2.8,,L,1.3,0.1,D,2.1,0.2,D,0.6,,L,1.3,0.3,D,1.3,0.3,D,1.4,0.4,D,0.4,,L,0.2,,L,3,0.3,D,4.8,0.2,D,1.9,0.3,D,1.8,,L,6.3,0.4,D,2.9,0.3,D,4.6,0.3,D,,,R,2.6,0.2,D,4.3,0.6,D,4.8,0.4,D,5.9,0.3,D,2.3,0.4,D,1.1,,L,2.3,0.4,D
6607.1,6607,1.4,0.3,D,3.5,,L,0.4,,L,0.6,,L,0.6,,L,0.8,0.2,D,1,0.2,D,1.5,,L,0.5,0.1,D,0.6,0.2,D,2.3,0.2,D,,,R,1.2,,L,2,,L,2.4,0.4,D,1.3,,L,0.5,,L,3.6,0.4,D,2,0.2,D,2.9,0.4,D,3.8,0.5,D,6.4,0.7,D,1.2,0.2,D,0.4,,L,1.1,0.2,D
6611.14,6611,5.2,0.9,D,7.8,,L,5.7,0.4,D,15.9,0.7,D,1.7,,L,25.2,1.2,D,1.6,0.3,D,2.8,,L,0.9,,L,,,R,,,R,2.9,,L,22.7,0.6,C,2.7,,L,13.4,0.5,D,7.6,1.1,D,6.7,0.5,D,21.1,1.9,D,,,R,,,R,34.5,0.5,D,14.7,1.1,D,10.6,0.3,C,7.1,0.7,D,11.6,0.7,D
6613.74,6613,241.9,0.8,D,119.4,2,D,50.5,0.5,D,154.1,1,D,12.6,0.4,D,73.3,0.7,D,82.5,0.4,D,84.9,1.8,D,30,0.3,D,29.2,0.7,D,184,0.4,D,78.7,1.9,D,195.9,1.1,D,42,1.2,D,397.3,1.2,D,445.2,3,D,66.1,0.8,D,369.6,0.6,D,109.4,0.4,D,196.1,2.1,D,316.8,1.7,D,355,1.4,D,169.7,0.9,D,130.7,0.9,D,190.6,0.7,D
6616.12,6616,2.7,,L,6.3,,L,1.8,,L,5.3,0.6,D,0.7,,L,,,R,1.8,,L,2.9,,L,2.6,0.5,D,0.4,,L,2.3,,L,4.4,,L,9.7,1,D,3.5,,L,8.3,0.5,D,5.2,,L,1.6,,L,7.5,2,D,5.6,1,D,3.2,,L,8.5,2.1,D,7.5,1.3,D,5.5,0.9,D,6.5,,L,4.6,1,D
6621.69,6621,3.7,0.5,D,4.4,,L,0.4,,L,1.7,,L,0.6,,L,1.5,,L,3.7,0.3,D,4.4,1.3,C,0.8,,L,0.9,,L,2.9,0.7,D,7.6,0.7,D,0.7,,L,1.7,,L,5.3,0.6,D,10.9,0.9,D,2.4,0.3,D,6,0.4,D,1.6,,L,2.9,0.9,D,7,1.3,D,6.2,0.8,D,1.5,0.4,D,1.9,0.5,D,4.5,0.3,D
6622.84,6622,10.7,0.4,D,9,1.2,D,1.5,0.4,D,4.1,0.2,D,0.7,,L,1.7,,L,2.8,0.2,D,6.7,0.7,C,0.8,0.1,D,0.9,,L,4.8,0.5,D,9.8,0.2,D,6.1,0.3,D,4.8,0.5,D,21.4,0.7,D,17.8,1.4,D,3.5,0.2,D,17.4,0.2,D,4.3,0.2,D,9.7,0.5,D,15.3,1.1,D,19,0.8,D,7.9,0.3,D,7.6,0.3,D,10.5,0.4,D
6624.9,6624,2.5,0.3,D,3.9,,L,0.6,0.1,D,1.1,,L,1.5,0.2,D,0.8,,L,1.7,0.4,D,1.4,,L,0.8,,L,0.5,,L,4,0.4,D,1.9,,L,1,,L,1.7,,L,4.8,0.4,D,4.9,0.7,D,1.3,,L,5.7,0.2,D,,,R,0.8,,L,7,0.1,D,2.4,0.6,D,2.4,0.3,D,1.2,,L,0.6,,L
6625.82,6625,2,0.3,D,4.4,,L,0.4,,L,1,,L,1,,L,1.1,,L,2,0.1,D,1.9,,L,0.7,,L,0.9,0.2,D,3.6,0.6,D,1,,L,1.3,,L,1.2,,L,6,1.2,D,1,,L,0.9,,L,7.4,0.2,D,,,R,1.8,0.4,D,6.7,0.7,D,3.2,0.4,D,3,0.3,D,2.6,0.3,D,0.5,,L
6628.24,6628,,,R,6.2,,L,1.2,0.4,D,1.8,,L,7.9,0.4,D,4,0.9,D,4.8,0.6,D,3.3,,L,1.1,,L,3,0.4,D,4,1,D,,,R,13.4,0.7,D,1.5,,L,2.2,,L,18.1,0.8,D,2.1,,L,10.4,0.4,C,5.5,,L,4.2,1.2,D,10.2,0.2,D,6.3,,L,6.2,0.3,D,3.5,,L,4.2,,L
6630.81,6630,3.4,0.5,D,3.7,,L,0.5,,L,2.8,0.7,D,0.6,,L,2.7,0.5,D,2,0.1,D,4.4,0.5,D,1,,L,0.9,,L,1,,L,2.1,,L,12.7,0.2,D,0.9,,L,10.9,0.1,D,8,1.1,D,1.8,,L,3.2,0.3,D,1.6,,L,2.6,0.6,D,5.5,0.1,D,7.1,1.7,D,5.1,0.1,D,2.3,0.2,D,1.1,,L
6631.65,6631,4.9,0.2,D,2.3,,L,0.3,,L,3.6,0.2,D,0.2,,L,2.8,0.2,D,0.9,0.2,D,4.5,0.3,D,0.5,,L,0.6,,L,3.2,,L,3.6,0.7,D,8.3,0.2,D,2.5,0.2,D,6.8,0.2,D,12.3,0.7,D,0.8,0.2,D,5.6,0.4,D,,,R,3.2,0.5,D,4.6,0.2,D,3.8,1,D,3.9,0.1,D,2.6,0.1,D,1.1,,L
6633,6633,11.9,0.8,D,8.1,,L,1.3,,L,7.5,0.8,D,1.3,,L,8.2,0.8,D,8,0.5,D,4.4,,L,1.6,,L,2.3,,L,7.9,1.6,D,,,R,9.1,0.9,D,5.1,0.4,D,18.5,0.9,D,8.4,,L,7.7,0.8,D,14.1,1.9,D,16.7,0.5,D,15.2,0.6,D,24.4,1.2,D,21,1.4,D,10.6,1.1,D,8.9,0.8,D,10.7,1.2,D
6635.66,6635,2.2,,L,6.4,,L,2.5,,L,2.5,,L,3.8,0.5,D,2.6,,L,2.3,0.5,D,3.3,,L,1.7,,L,1.6,,L,4.5,,L,2.7,,L,3,,L,2,,L,8,0.4,D,8.4,0.9,D,1.3,,L,8.8,0.5,D,11.9,,L,4.4,1.1,D,10.9,0.7,D,14.5,1.6,D,2.4,0.3,D,3.3,,L,10.7,0.5,D
6637.74,6637,0.7,,L,4,,L,,,R,1.3,,L,1.3,0.2,D,1,,L,0.6,,L,1.6,,L,1.8,0.2,D,1.3,0.3,D,1.7,,L,2.9,,L,1.1,,L,1.6,,L,2.5,0.2,D,4.6,0.6,D,1.4,,L,2.9,0.3,D,1.3,,L,2.1,,L,3.3,0.4,D,3.2,1,D,2.2,,L,2.2,0.4,D,5.3,0.4,D
6639.32,6639,2.8,0.4,D,2.6,,L,,,R,1.6,0.3,D,0.5,,L,1.5,,L,1.7,0.4,D,2.9,,L,0.9,,L,1.6,,L,1.8,,L,2.4,,L,1.1,,L,1.1,,L,5.3,0.2,D,4.3,0.8,D,2.2,0.4,D,5.6,0.3,D,1.6,,L,10.3,,L,3.1,0.4,D,3.3,0.5,D,2.5,0.4,D,3.8,0.4,D,0.8,,L
6643.43,6643,16.5,0.7,C,10.8,,L,5.6,1.4,C,8.5,0.7,D,3.1,0.7,D,,,R,4.3,1,D,7.3,,L,4.2,,L,3.8,,L,18.5,1.8,D,,,R,6.9,,L,2.7,,L,22.7,1.9,D,24.6,1.8,D,5.2,,L,26.5,1.4,D,,,R,9.1,1.2,D,26,1,D,11.4,1.6,D,10.3,2,D,6.1,1.8,D,17.2,1.6,C
6645.99,6645,8,0.5,D,6.1,,L,1.9,,L,2.7,0.5,D,1.2,,L,3.3,,L,1.2,,L,3.5,,L,1.5,,L,0.8,,L,5.2,1.1,D,,,R,4.4,0.9,D,4.3,1.2,D,10.4,0.4,D,19.4,1.8,D,2.1,,L,13.1,0.8,D,2.5,0.7,D,5,0.8,D,10.4,0.8,D,15.6,1.8,D,5.8,0.5,D,2.6,,L,3.2,0.6,D
6649.9,6649,2.2,,L,11.5,,L,3.4,,L,2.4,,L,1.5,,L,3,,L,2.1,,L,5.5,,L,2.4,,L,2.2,,L,3.1,0.7,D,,,R,3.4,,L,4.6,,L,8,1.3,D,12.2,2.2,D,2.2,,L,3.3,,L,3.6,,L,6.1,1.6,D,9.2,1.6,D,7.1,1.1,D,1.3,,L,4.8,,L,2.9,,L
6654.72,6654,3.1,,L,7.8,,L,1.2,0.3,D,3.4,0.2,D,0.6,,L,2.2,0.3,D,1.4,0.3,D,3,,L,1.7,,L,2.4,,L,3.6,0.5,D,,,R,7.4,0.3,D,1.5,,L,7.3,0.5,D,10.8,1.7,D,1.4,,L,6.3,0.4,D,2.4,0.4,D,2.6,0.6,D,5.6,0.3,D,7,0.4,D,6.3,0.3,D,3.8,0.3,D,2.2,,L
6657.34,6657,3.3,0.7,D,6,,L,0.8,,L,4.8,0.2,D,0.7,0.1,D,0.9,,L,0.7,,L,2.6,,L,0.7,,L,0.8,,L,0.8,,L,2.9,,L,5,0.2,D,1.1,,L,13.7,0.6,D,14.3,2.3,D,1.3,,L,10.6,0.2,D,1.2,,L,4,0.7,D,10.5,0.3,D,6.5,0.5,D,3.1,0.1,D,3.7,0.3,D,1.5,0.2,D
6658.7,6658,6.7,0.2,D,6.6,,L,0.8,,L,3.4,0.2,D,0.6,,L,0.9,,L,1.2,0.2,D,0.9,,L,1.4,,L,1.1,,L,1.6,0.4,D,1.1,,L,0.9,,L,1.1,,L,7.3,0.3,D,4.5,0.7,D,1.3,,L,14.9,0.3,D,1.9,0.3,D,4.5,0.6,D,5.5,0.3,D,4.3,0.4,D,4.6,0.1,D,1.7,0.3,D,1,,L
6660.67,6660,77.7,0.5,D,16.8,1.6,D,7.6,0.2,D,19.7,0.2,D,1.4,0.3,D,13.1,0.4,D,12.8,0.2,D,13.9,0.6,D,0.9,,L,1.3,0.3,D,39.9,0.9,D,8.1,0.5,D,25.2,0.3,D,6.7,0.4,D,91.7,0.2,D,84.9,1.8,D,40.6,0.3,D,94.5,0.4,D,15,0.3,D,32.3,0.4,D,43.7,0.3,D,51.4,0.5,C,33.2,0.5,D,21.3,0.3,D,25.8,0.9,D
6662.17,6662,6.4,0.2,D,8.7,1.1,D,0.5,,L,1.7,,L,0.9,0.2,D,2.7,0.3,D,1.7,0.1,D,2,,L,0.5,,L,0.6,,L,2.4,0.4,D,,,R,1.6,,L,1.6,,L,7,0.8,D,1.6,,L,1.4,,L,9.2,0.2,D,4.3,0.4,D,3.2,,L,6.4,0.3,D,4.9,0.4,D,3.3,0.1,D,4.5,0.3,D,3.4,0.3,D
6663.99,6663,10.9,0.2,D,12.1,1,C,1.4,,L,3.5,0.3,D,0.5,,L,1.3,,L,2.6,0.2,D,5.4,0.9,D,2.8,0.3,D,2.9,0.3,D,6.2,0.4,D,,,R,1.1,,L,4.8,0.8,D,4.2,0.4,D,5.4,0.8,D,3.1,,L,12.3,0.8,D,1.2,,L,5.1,0.5,D,9.2,0.5,D,7.5,0.7,D,3,0.6,D,2.1,0.5,D,3.6,0.3,D
6665.27,6665,16.1,0.3,D,14.3,1.1,D,4.1,0.3,D,6.1,0.3,D,0.5,,L,4.9,0.3,D,1.5,0.3,D,4.2,0.8,D,1.9,0.2,D,2.3,0.2,D,7.7,0.7,D,,,R,10.5,0.2,D,1.9,,L,11.6,0.4,D,21.2,0.9,D,,,R,17.6,0.5,D,0.7,,L,5.9,0.8,D,4.3,0.3,D,10,0.4,D,6.1,0.1,D,4.8,0.8,D,4.8,0.5,D
6669.36,6669,1.5,,L,7.1,,L,1.6,,L,3.5,0.6,D,2.1,0.4,D,,,R,3.3,0.5,D,3.6,,L,1.1,,L,1.4,,L,1.1,,L,3.9,0.9,D,3.5,1,D,3.8,0.8,D,1.6,,L,8.1,1.9,D,2.9,0.8,D,7.4,0.2,D,10.1,0.6,D,3.3,0.6,D,12.8,0.4,C,5.7,1.3,D,1.4,0.3,D,1.8,0.4,D,2.7,,L
6672.23,6672,,,R,13.3,1.3,D,5.3,0.2,D,8.3,0.3,D,0.8,,L,4.2,0.4,D,6.5,0.5,D,,,R,0.7,,L,0.9,,L,,,R,,,R,16.3,0.4,C,1.7,,L,36.3,1.2,D,,,R,,,R,50.1,0.7,D,6.5,0.3,D,15.1,0.2,D,17.5,0.8,D,30.5,1.5,D,13.9,0.5,D,6.5,0.1,D,7.1,0.3,C
6685.03,6685,6.7,1.4,D,7.6,,L,3.5,0.8,D,2.9,,L,2.3,,L,,,R,,,R,3.5,,L,4.4,,L,3.6,0.7,D,6.6,,L,3.1,,L,3.5,0.8,D,4.7,,L,50.3,1.6,D,24.3,,L,2.6,,L,7.7,2.3,D,2.9,0.8,D,19.5,,L,,,R,5.9,,L,5.9,1.4,D,,,R,5.2,1.2,D
6689.35,6689,14.1,0.4,D,3.7,,L,2.4,0.4,D,5.1,0.3,D,0.7,,L,1.7,0.4,D,2.7,0.4,D,4.9,0.8,D,0.9,,L,1.1,,L,9.9,0.8,D,,,R,6.3,0.3,D,4.4,0.8,D,22.8,0.8,D,26.4,1.5,D,1.3,,L,17.1,0.4,D,4.3,0.2,D,12.5,0.5,D,11,0.5,D,16.5,1.9,D,9.2,0.3,D,2.9,0.4,D,7.2,0.6,D
6693.57,6693,2.9,0.3,D,2.2,,L,0.8,,L,1.8,0.2,D,0.8,,L,1.3,,L,1.5,,L,1.7,,L,0.6,,L,1,,L,0.9,,L,2.5,0.5,D,1.5,0.3,D,1.9,0.3,D,3.6,0.6,D,7.9,0.6,D,1.1,0.2,D,5.3,0.2,D,1.6,0.3,D,4.8,0.7,D,5.1,0.2,D,8.3,0.5,D,1.9,0.2,D,1,0.3,D,0.5,0.2,D
6694.53,6694,6.7,0.3,D,3.9,,L,0.9,,L,3.9,0.3,D,0.6,,L,4.1,0.5,D,1.4,,L,2.4,,L,0.9,0.1,D,1.6,0.2,D,3.9,0.5,D,0.9,,L,4.6,0.2,D,0.8,,L,9.1,0.4,D,14.3,0.5,D,0.8,0.2,D,5.7,0.1,D,4.2,0.3,D,4.1,1.3,D,8.8,0.3,D,11.8,1.2,D,4.3,0.2,D,2.5,0.3,D,3.1,0.2,D
6697.08,6697,4.5,0.4,D,2.5,,L,1.4,,L,4,0.2,D,0.8,,L,1.3,,L,2.2,0.7,D,4,0.6,D,1,,L,0.8,,L,2,0.4,D,1.5,,L,2.6,0.4,D,2.1,,L,7,0.4,D,18,,L,1.1,,L,8.4,0.1,D,0.6,,L,10.2,,L,5.4,0.6,D,6.4,0.6,D,1.5,0.4,D,1.3,,L,0.7,,L
6699.28,6699,38,1.1,D,5.5,,L,7.4,0.3,D,14.1,0.4,D,1.1,,L,7.5,0.4,D,7,0.2,D,13.5,0.3,D,1.8,0.3,D,1.2,,L,22.5,0.4,D,9.4,0.5,D,24.2,1.3,D,1.4,0.5,D,43.6,0.7,D,71.7,0.8,D,19.7,0.2,D,43.1,0.8,D,10,0.4,D,19.9,0.7,D,30,0.3,D,52.5,1.6,D,20,0.5,D,10.6,0.3,D,19.2,0.4,D
6702.07,6702,14.1,0.4,D,9.4,1.1,D,4.8,0.4,D,6.4,0.4,D,0.5,0.1,D,4.8,0.5,D,4,0.3,D,1.6,,L,1,,L,0.9,,L,11,0.2,D,8.6,0.7,D,10.7,0.6,D,3.3,0.5,D,20.4,0.3,D,29.1,1.7,D,2.8,0.2,D,14.7,0.3,D,2.6,0.4,D,9,0.4,D,10.8,0.5,D,16.9,1.3,D,7.8,0.2,D,3.1,0.2,D,4.4,0.2,D
6706.48,6706,1.9,,L,9.8,,L,1.3,,L,1.3,,L,0.8,,L,1.7,,L,0.6,,L,3.6,,L,1.4,,L,1.5,,L,4.8,,L,4.4,,L,2.5,0.7,D,1.6,,L,8.1,1.1,D,10.4,,L,1,,L,4.7,0.5,D,3.7,0.6,D,1.4,,L,3.9,1.1,D,5.3,,L,3.3,0.2,D,1.2,0.2,D,3,0.5,D
6709.49,6709,6.4,0.6,D,4.1,,L,1.8,0.2,D,2.5,0.2,D,0.8,,L,1.1,,L,1.1,0.1,D,,,R,1.2,0.2,D,1.1,,L,6.9,0.5,D,3,,L,1.1,,L,2.9,,L,9.3,0.6,D,8.8,0.9,D,1.3,,L,13.8,0.2,C,4.6,0.3,D,6.3,0.7,D,10.3,0.9,D,16,1.2,D,2,0.2,D,1.2,0.1,D,1.7,0.3,D
6713.79,6713,5,0.9,D,5.8,,L,2.4,,L,1,0.3,D,1.8,,L,1.6,,L,2,0.4,D,5.5,,L,1,,L,1.1,,L,3.9,0.4,D,4.2,,L,3.8,0.9,D,3.9,,L,9,0.3,D,7,1.2,D,4.1,0.6,D,8.8,0.8,D,6.9,0.5,D,2.7,,L,8.8,1,D,4,,L,1.8,0.5,D,2.1,0.3,D,4.2,0.6,D
6718.33,6718,1.5,,L,3.1,,L,1.2,,L,0.7,0.2,D,0.8,,L,1,,L,0.9,,L,5.9,0.5,D,1.2,,L,0.4,,L,2.2,,L,,,R,2.5,,L,3.4,0.8,D,3.2,0.5,D,2.7,0.5,D,3.7,0.4,D,9.3,0.3,C,0.7,,L,4.4,0.4,D,3.5,0.5,D,2.4,,L,2.9,0.2,D,1.8,0.3,D,1.2,,L
6719.19,6719,3.5,0.4,D,2.5,,L,0.5,,L,0.8,,L,0.5,,L,0.8,,L,0.8,,L,2.6,0.5,D,0.7,0.1,D,0.7,0.2,D,1,,L,,,R,1.2,,L,3.2,0.7,D,3.5,0.5,D,2.8,,L,1.9,0.2,D,7.1,0.3,D,0.7,,L,4.3,0.2,D,5.6,0.3,D,5.1,1,D,3,0.2,D,2.5,0.2,D,3.9,0.3,D
6727.64,6727,4.1,0.6,D,6.5,1,D,0.8,,L,1.6,0.2,D,2,0.2,D,2.9,0.5,D,1,,L,3.3,,L,0.7,,L,0.6,,L,3.5,0.6,D,2.5,,L,0.8,,L,0.9,,L,4.8,0.6,D,8.6,1.1,D,5.8,0.5,D,8.9,0.5,D,3.4,0.6,D,3,0.4,D,7,0.5,D,8.2,0.9,D,4.4,0.3,D,2.7,0.3,D,2.6,0.6,D
6728.55,6728,6.9,0.7,D,2.3,,L,2.4,,L,4.5,0.2,D,1.6,,L,2.4,0.3,D,1.2,,L,3.9,,L,0.7,,L,0.8,,L,3.8,0.3,D,2.4,,L,,,R,1.9,,L,4.7,0.5,D,7.9,0.4,D,3,0.2,D,9.6,0.2,D,5.5,0.3,D,4,0.4,D,7.8,0.6,D,9,1,D,5.1,0.3,D,2.6,0.3,D,4.8,0.4,D
6729.22,6729,4.1,0.4,D,12.3,0.7,D,3.4,0.4,D,5.6,0.2,D,2.3,0.2,D,6.6,0.3,D,1,,L,3,,L,0.5,,L,1.3,,L,9.8,0.3,D,3.9,0.7,D,14.5,0.4,D,2.7,0.5,D,23.2,0.7,D,9.7,0.6,D,3.2,0.3,D,9.5,0.2,D,2.5,0.3,D,7.9,0.2,D,12.7,0.4,D,21.6,0.5,D,16.9,0.3,D,4.8,0.1,D,3.9,0.3,D
6731.28,6731,2.2,0.4,D,6.4,,L,1.2,,L,2.1,,L,1.2,0.3,D,3,0.4,D,1.4,,L,4.2,,L,0.9,,L,1.5,,L,2.6,,L,6.8,0.3,D,1.8,,L,2.6,,L,1.3,,L,4.3,,L,0.8,,L,3.2,0.4,D,1.2,,L,3.5,,L,2.2,0.3,D,3.2,0.5,D,1.7,,L,1.9,,L,1.9,,L
6733.25,6733,11.5,0.7,D,8.4,,L,1.8,,L,3.1,0.3,D,2,0.5,D,4.3,0.8,D,2.5,,L,4.6,,L,1.1,,L,1.6,,L,2.2,,L,,,R,7,0.7,D,2.3,,L,9.9,1.1,D,14.2,1.2,D,5.3,0.4,D,7.8,0.7,D,3.9,0.5,D,10.9,0.8,D,16.9,1.1,C,11.5,1.8,C,9.2,0.6,D,3.3,,L,7.1,0.5,C
6735.43,6735,25.1,2.7,D,17.3,,L,6.7,1.4,D,12.9,2.7,D,9.6,1.2,D,21.2,3,D,,,R,25,6.5,D,7,,L,7.9,,L,9,2.7,D,13.1,,L,17.2,2.8,D,15.4,,L,96.8,3.8,C,35,5.5,D,6,,L,39,2.2,D,17.4,2.8,D,24.8,3.1,D,54.3,4.1,D,33.5,4.2,C,24.4,2.3,D,5.9,,L,25.8,2,D
6736.27,6736,2,0.1,D,5.5,,L,0.8,,L,0.7,,L,0.8,,L,1.6,0.2,D,1.3,,L,1.6,,L,0.6,0.1,D,0.4,,L,3.6,0.3,D,0.7,,L,0.6,,L,0.8,,L,2.8,0.2,D,4.8,0.4,D,0.8,,L,2.7,0.2,D,2.3,0.2,D,5.6,0.4,D,4,0.4,D,2.9,0.6,D,5.9,0.3,D,0.8,,L,1.5,0.1,D
6737.26,6737,5.6,0.2,D,5,,L,1.1,0.2,D,1.2,,L,0.7,,L,1.4,0.3,D,1.4,,L,2.2,,L,0.8,,L,0.9,,L,7,0.3,D,2.2,0.4,D,1.3,,L,1.1,,L,7.8,0.4,D,10,0.6,D,1.3,,L,11.1,0.3,D,3.8,0.3,D,9.8,0.4,D,9.7,0.6,D,10,0.3,D,6.7,0.2,D,1.7,0.3,D,4.3,0.7,D
6740.97,6740,12.2,0.2,D,7.3,,L,2.2,,L,5.2,0.7,D,1.2,,L,1.6,,L,2,0.6,D,3.7,,L,1.2,,L,1.2,,L,6.1,0.6,D,10.3,0.5,D,2.7,0.5,D,1.9,,L,17.9,0.6,D,9.6,1,D,3.7,0.5,D,21.4,0.6,D,9.8,0.3,D,11.2,1,D,19.4,1.2,D,20.6,1.3,D,4.3,0.5,D,4.9,0.5,D,16.2,0.5,D
6742.68,6742,7.7,0.4,D,5.9,,L,1,,L,10.4,0.2,D,1.2,,L,1.3,,L,0.5,,L,1.4,,L,0.6,,L,2.2,,L,5.6,0.5,D,,,R,2.1,0.1,D,2,,L,13,0.8,D,3,,L,0.8,,L,14.2,0.4,D,4.4,0.5,D,3.5,0.7,D,12.2,0.9,D,12.1,0.5,D,4.1,0.2,D,5,0.1,D,8.4,0.4,D
6743.9,6743,11.5,,L,7.3,,L,1.7,,L,3.4,1,D,1.2,,L,2.3,,L,4.9,1.1,D,8.2,1.1,D,4.1,0.8,D,2.8,0.5,D,9.4,0.8,D,,,R,5.1,0.9,D,4.1,1.2,D,8.7,0.8,D,4,,L,4.7,0.8,D,11.8,1.1,D,3.7,0.8,D,4.4,,L,9.6,1.6,D,12.4,2.7,D,6.6,1.2,D,3.5,0.4,D,6.8,0.8,D
6747.82,6747,10.2,0.5,D,8.3,,L,1.4,,L,2.8,0.9,D,1,,L,2.1,,L,2.5,,L,,,R,0.8,,L,0.7,,L,1.9,,L,,,R,4.3,0.5,D,3.9,,L,9,0.4,D,4.8,,L,5.9,0.7,D,12.7,1.1,D,4.8,0.5,D,4.2,1,D,8.2,0.9,D,9.1,,L,4.7,0.6,D,1.8,0.4,D,7.6,1,D
