wavelength,wave_label,20041EW,20041err,20041label,Cernis52EW,Cernis52err,Cernis52label,23180EW,23180err,23180label,281159EW,281159err,281159label,23512EW,23512err,23512label,24534EW,24534err,24534label,24912EW,24912err,24912label,28482EW,28482err,28482label,37061EW,37061err,37061label,37903EW,37903err,37903label,43384EW,43384err,43384label,147084EW,147084err,147084label,147889EW,147889err,147889label,148579EW,148579err,148579label,166734EW,166734err,166734label,168625EW,168625err,168625label,175156EW,175156err,175156label,183143EW,183143err,183143label,190603EW,190603err,190603label,194279EW,194279err,194279label,CygOB25EW,CygOB25err,CygOB25label,CygOB212EW,CygOB212err,CygOB212label,204827EW,204827err,204827label,206267EW,206267err,206267label,223385EW,223385err,223385label
6163.5,6163,,,R,4,0.9,D,1.7,0.1,D,1.3,0.2,D,0.6,,L,1.3,0.4,D,1.1,0.3,D,,,R,0.3,,L,0.9,,L,4.7,0.5,D,,,R,5,0.1,D,2.1,,L,2.6,0.4,D,7.2,1,D,21.4,0.2,C,,,R,0.7,,L,2.3,0.3,D,1.9,0.5,D,9.2,0.2,D,5.2,0.1,C,1.5,0.1,D,2.2,,L
6165.48,6165,12.3,1,D,,,R,4.1,0.5,D,2.6,,L,1.2,,L,7,1.5,D,2.9,,L,9.4,,L,2.4,0.5,D,3.2,,L,15.6,0.3,D,11.1,,L,6.7,,L,7,,L,19.1,1,D,7,,L,5,,L,,,R,17.2,1.2,D,4.4,,L,9.1,,L,3.7,,L,11.9,0.9,D,5.4,0.8,D,6.8,0.5,D
6168.06,6168,11.3,0.8,D,10,,L,3.4,0.4,D,2.4,,L,1.7,,L,6.7,1.4,D,1.2,,L,7.6,0.8,D,1.6,,L,2.7,0.7,D,,,R,,,R,4.4,,L,4.7,1.5,D,3,,L,9.4,1.7,D,1.3,,L,9.3,0.6,D,1.2,,L,5.9,0.9,D,4.6,,L,7.7,,L,3.2,,L,1.9,,L,1.8,,L
6170.51,6170,21.3,0.8,D,,,R,3.7,,L,4.3,,L,3.1,,L,10.4,1.2,D,4.8,,L,3.5,,L,1.5,,L,3.5,,L,5.8,1.2,D,,,R,3.6,,L,15.8,1.8,D,3.6,,L,5.2,,L,2.1,,L,22,0.5,D,3.4,,L,4.8,,L,9.8,1.7,D,10.4,,L,5.6,1,D,4.4,1.5,D,7.6,1.6,D
6174.55,6174,,,R,4.1,,L,1.1,,L,0.9,,L,0.9,,L,1.1,,L,1.4,,L,,,R,1.6,0.1,D,1.7,,L,2.2,0.3,D,,,R,,,R,1.1,,L,1.9,0.4,D,4.8,0.3,D,,,R,,,R,0.8,,L,1.8,0.4,D,0.9,,L,9.8,0.6,D,1.6,0.3,D,0.8,,L,,,R
6174.86,6175,476.2,21.8,C,150.2,,L,46.1,,L,58.1,,L,98.1,,L,44.2,,L,311.8,18.4,D,83.4,,L,104.6,20.2,D,99.7,15.2,D,311,19.6,D,504.9,40.1,C,0.4,,L,103.3,,L,588.2,32.8,D,956.5,47.8,D,79.3,,L,,,R,242.4,13.6,C,481.2,36,D,1492.2,49,D,882.7,44.1,D,126.5,,L,336.7,21,D,582.2,27.5,D
6177.61,6177,2.8,,L,13.5,2.1,D,2.5,0.8,D,2,,L,1.9,0.5,D,3.5,,L,1.7,,L,5.2,,L,2.4,,L,1.8,,L,1.6,,L,,,R,3.3,0.8,D,3.6,,L,7.2,0.9,D,7.2,,L,2.9,0.5,D,5.3,0.8,D,1,,L,9.9,1.5,D,4.7,1.2,D,8.2,1.7,D,3.2,0.9,D,1.5,,L,,,R
6182.71,6182,1.8,,L,5.2,,L,0.8,,L,0.9,,L,1.1,,L,1.4,0.4,D,1.1,,L,2.7,,L,1,,L,1.3,,L,1.3,,L,1.8,,L,4.1,0.4,D,1.6,,L,5.3,0.5,D,4.1,1,D,0.8,,L,3.5,0.5,D,0.7,,L,2.4,,L,3.2,0.6,D,5.2,,L,3,0.4,D,1.7,0.3,D,4.1,0.9,D
6185.79,6185,7.5,0.4,D,2.5,,L,1.3,0.1,D,2.8,0.2,D,1.1,0.2,D,1.7,,L,1,0.1,D,4.7,0.5,D,0.7,0.2,D,0.7,,L,5.2,0.2,D,5.7,0.4,D,2.6,0.2,D,2.8,0.2,D,14.9,0.5,D,15.1,0.9,D,3.2,0.1,D,12.7,0.5,D,1.8,0.3,D,6.1,0.5,D,9.4,0.4,D,12.2,0.4,D,6.5,0.1,D,4.5,0.2,D,4.2,0.4,D
6187.3,6187,10.9,0.4,D,7.7,,L,0.7,,L,3.5,0.2,D,1.2,,L,1.6,,L,1.3,,L,5.6,0.6,D,0.8,,L,1.3,,L,7.6,0.5,D,,,R,1,,L,2.2,,L,19.4,1.1,D,8.4,1,D,4,0.2,D,16.3,0.6,D,2.6,0.3,D,8.7,0.8,D,16.7,0.7,D,12.4,0.4,D,2.1,0.2,D,4.4,0.3,D,5.7,0.3,D
